SACKS     |MKO-PE-01-U-U  |02/01/2003|02/29/2004 | 999999.99|12.50     |      0.00| 0.00     |      0.00| 0.00     |      0.00| 0.00     
SACKS     |MKO-PE-02-U-U  |02/01/2003|02/29/2004 | 999999.99|12.50     |      0.00| 0.00     |      0.00| 0.00     |      0.00| 0.00     
SACKS     |MKO-PE-03-U-U  |02/01/2003|02/29/2004 | 999999.99|12.50     |      0.00| 0.00     |      0.00| 0.00     |      0.00| 0.00     
SACKS     |MKO-PE-04-U-U  |02/01/2003|02/29/2004 | 999999.99|12.50     |      0.00| 0.00     |      0.00| 0.00     |      0.00| 0.00     
SACKS     |MKO-PE-05-U-U  |02/01/2003|02/29/2004 | 999999.99|12.50     |      0.00| 0.00     |      0.00| 0.00     |      0.00| 0.00     
SACKS     |MKO-PE-06-U-U  |02/01/2003|02/29/2004 | 999999.99|12.50     |      0.00| 0.00     |      0.00| 0.00     |      0.00| 0.00     
SACKS     |MKO-PE-07-U-U  |02/01/2003|02/29/2004 | 999999.99|12.50     |      0.00| 0.00     |      0.00| 0.00     |      0.00| 0.00     
SACKS     |MKO-PE-08-U-U  |02/01/2003|02/29/2004 | 999999.99|12.50     |      0.00| 0.00     |      0.00| 0.00     |      0.00| 0.00     
SACKS     |MKO-PE-09-U-U  |02/01/2003|02/29/2004 | 999999.99|12.50     |      0.00| 0.00     |      0.00| 0.00     |      0.00| 0.00     
SACKS     |MKO-PE-10-U-U  |02/01/2003|02/29/2004 | 999999.99|12.50     |      0.00| 0.00     |      0.00| 0.00     |      0.00| 0.00     
SACKS     |MKO-PE-11-U-U  |02/01/2003|02/29/2004 | 999999.99|12.50     |      0.00| 0.00     |      0.00| 0.00     |      0.00| 0.00     
SACKS     |MKO-PE-12-U-U  |02/01/2003|02/29/2004 | 999999.99|12.50     |      0.00| 0.00     |      0.00| 0.00     |      0.00| 0.00     
SACKS     |MKO-PE-13-U-U  |02/01/2003|02/29/2004 | 999999.99|12.50     |      0.00| 0.00     |      0.00| 0.00     |      0.00| 0.00     
SACKS     |MKO-PE-14-U-U  |02/01/2003|02/29/2004 | 999999.99|12.50     |      0.00| 0.00     |      0.00| 0.00     |      0.00| 0.00     
