MATPRI    |0974TP          |ESENCIA EXTRACTO L EAU PAR KEN|U      |    39.000|03/11/2014|T  
MATPRI    |0980TP          |ESENCIA EXTRACTO EMPORIO FEM  |U      |    31.000|04/22/2014|T  
MATPRI    |0981TP          |ESENCIA EXTRACTO EMPORIO MASC |U      |    40.100|09/12/2012|T  
MATPRI    |0997TP          |ESENCIA EXTRACTO NARCISE FEM  |U      |    39.000|05/14/2014|T  
MATPRI    |0998TP          |ESENCIA EXTRACTO CAROLINA HERR|U      |    47.000|05/04/2014|T  
MATPRI    |1016TP          |ESENCIA EXTRACTO ONE UNISEX   |U      |    51.700|03/18/2014|T  
MATPRI    |1109TP          |ESENCIA EXTRACTO  212 CH MASC |U      |    52.300|05/20/2014|T  
MATPRI    |1185TP          |ESENCIA EXTRACTO ANAIS ANAIS F|U      |    26.000|04/22/2014|T  
MATPRI    |1191TP          |ESENCIA EXTRACTO ORGANZA FEM  |U      |    47.000|04/14/2014|T  
MATPRI    |1224TP          |ESENCIA EXTRACTO ETERNITY FEM |U      |    32.600|02/14/2014|T  
MATPRI    |1265-4TP        |ESENCIA FLOWER FEMENINO       |U      |    68.200|02/03/2014|T  
MATPRI    |1341TP          |ESENCIA 5TA AVENIDA FEMENINO  |U      |    32.700|04/22/2014|T  
MATPRI    |1404TP          |ESENCIA EXTRACTO DONNA KARAN F|U      |    40.100|04/15/2014|T  
MATPRI    |1419TP          |ESENCIA SAMSARA FEMENINO      |U      |    56.250|02/21/2014|T  
MATPRI    |1609TP          |ESENCIA EXTRACTO 212 CH FEM   |U      |    40.500|05/06/2014|T  
MATPRI    |1613TP          |ESENCIA EXTRACTO ESCAPE MASC  |U      |    43.500|02/14/2014|T  
MATPRI    |1647-3TP        |ESENCIA EXTRACTO OPIUM FEM    |U      |    38.030|02/24/2014|T  
MATPRI    |1669TP          |ESENCIA EXTRACTO JAZZ MASC    |U      |    57.950|01/29/2014|T  
MATPRI    |1671TP          |ESENCIA EXTRACTO L EAU DISSEY |U      |    38.600|05/26/2014|T  
MATPRI    |1674TP          |ESENCIA EXTRACTO KENZO MASC   |U      |    45.900|02/11/2014|T  
MATPRI    |1675TP          |ESENCIA EXTRACTO POLO SPORT MA|U      |    39.000|05/08/2014|T  
MATPRI    |1701TP          |ESENCIA EXTRACTO  DISEY M     |U      |    48.560|04/29/2014|T  
MATPRI    |1703TP          |ESENCIA EXTRACTO COOL WATER MA|U      |    48.000|04/15/2014|T  
MATPRI    |1706TP          |ESENCIA EXTRACTO  PACO RABANNE|U      |    46.500|02/11/2014|T  
MATPRI    |1738TP          |ESENCIA EXTRACTO BE UNISEX    |U      |    35.000|09/19/2013|T  
MATPRI    |1740TP          |ESENCIA EXTRACTO POEME FEM    |U      |    31.800|04/15/2014|T  
MATPRI    |1745TP          |ESENCIA EXTRACTO CWF          |U      |    42.850|03/11/2014|T  
MATPRI    |1749TP          |ESC PERF NENAS                |U      |    34.800|02/14/2014|T  
